query_id,accession_id
A0A2T0LGU9,PF07702.16;PF00392.24
A0A2T0LF29,PF01475.22
A0A2T0LIS5,PF13085.9;PF13183.9
A0A540UV73,PF00694.22
A0A540V7P2,PF02082.23
A0A2T0L9X2,PF06153.14
A0A2T0LBN0,PF00347.26
A0A2T0LB99,PF00072.27;PF00486.31
A0A2T0LAC9,PF00005.30
A0A2T0LF24,PF00072.27;PF00196.22;PF08281.15
A0A2T0LET3,PF02302.20
A0A540UZU4,PF06156.16
A0A2T0LB10,PF01381.25;PF12844.10
A0A2T0LCI4,PF00583.28;PF13673.10;PF13508.10
A0A2T0LAW0,PF01872.20
A0A2T0LIP6,PF00707.25;PF05198.19
A0A540V3S9,PF04260.15
A0A2T0LEF6,PF00440.26
A0A540V6W0,PF00085.23
A0A540V4Z0,PF01985.24
A0A2T0LGF4,PF01182.23
A0A2T0LIP2,PF07729.15;PF00392.24
A0A540V5G2,PF03551.17
A0A540V2L6,PF00572.21
A0A540V2F1,PF07977.16
A0A540V240,PF00072.27;PF00196.22
A0A2T0LJ97,PF00085.23
A0A540V1C4,PF00005.30;PF13304.9
A0A2T0LGM9,PF00005.30
A0A2T0LH10,PF00005.30
A0A540V1B6,PF17932.4;PF00440.26
A0A540V1Q0,PF03831.17;PF08274.15
A0A2T0LH80,PF02683.18
A0A2T0LEY4,PF04542.17;PF08281.15
A0A540V1R6,PF00528.25
A0A540V1S5,PF05768.17
A0A2T0LFV9,PF04452.17;PF20260.1
A0A2T0LDS3,PF00510.21
A0A2T0LF97,PF13561.9;PF00106.28;PF08659.13
A0A2T0LHA6,PF00255.22
A0A540V456,PF00072.27;PF00486.31
A0A2T0LJI9,PF00072.27;PF00196.22
A0A2T0LFB2,PF10502.12
A0A2T0LGD4,PF00005.30
A0A2T0LBI1,PF00005.30;PF13304.9
A0A540V2U3,PF13460.9;PF05368.16;PF01370.24;PF01073.22
A0A540V720,PF04232.15
A0A2T0LI32,PF00072.27;PF00486.31
A0A540V4B5,PF13561.9;PF00106.28;PF08659.13
A0A540UZ36,PF07288.14
A0A540V5G6,PF02583.20
A0A2T0LI61,PF00072.27;PF00486.31
A0A2T0LBC1,PF11127.11
A0A540V439,PF00510.21
A0A2T0LHS6,PF04657.16
A0A540V2B2,PF01923.21
A0A2T0LCP1,PF01381.25;PF12844.10
A0A2T0LAV2,PF13302.10;PF13420.10;PF00583.28;PF13523.9
A0A540V5D3,PF00581.23
A0A2T0LGL9,PF03994.17
A0A540V8L4,PF13561.9;PF00106.28
A0A2T0LC73,PF00005.30
A0A2T0LBE8,PF02630.17;PF00578.24
A0A540V482,PF04542.17;PF04545.19
A0A540V653,PF01029.21
A0A2T0LB07,PF08534.13;PF00578.24
A0A2T0LD02,PF07873.14
A0A2T0LFN3,PF00486.31;PF00072.27
A0A2T0LF18,PF04309.15
A0A540V2Y3,PF00072.27;PF00486.31
A0A2T0LGY4,PF01252.21
A0A540UUW6,PF01206.20
A0A2T0LFZ0,PF08281.15;PF04542.17;PF04545.19
A0A2T0LJI5,PF00300.25
A0A2T0LD46,PF04079.19
A0A2T0LIZ1,PF09360.13
A0A540V2F4,PF01467.29
A0A2T0LB60,PF00005.30
A0A540V6M2,PF00334.22
A0A2T0LI73,PF01250.20
A0A540V5C9,PF12822.10
A0A540V5K8,PF00403.29
A0A2T0LAF1,PF02082.23
A0A2T0LBW1,PF13279.9;PF03061.25
A0A540V1A0,PF00313.25
A0A2T0LCQ1,PF00072.27;PF00486.31
A0A2T0LF76,PF00830.22
A0A540V4A2,PF01327.24
A0A540UZ34,PF00571.31
A0A0R2GTZ6,PF00005.30;PF13304.9
A0A0R2GVE1,PF00177.24
A0A2S5T455,PF00005.30
A0A2S5T0P6,PF01584.22
A0A2T0LDS6,
A0A2T0LAG5,
A0A2T0LE59,
A0A540V293,
A0A540V5J9,
A0A540V6E1,
A0A2T0LDQ7,
