query_id,accession_id
A0A840PD75,PF11361.11
A0A1C5JYI3,PF03259.20
A0A7H0YFF1,PF00072.27;PF00486.31
A0A840NZZ9,PF00072.27;PF00486.31
A0A7X2Z436,PF00072.27;PF00196.22
A0A7H0YG68,PF00072.27;PF00486.31
A0A511Z7L1,PF04542.17;PF08281.15;PF04545.19
A0A840PM83,PF16859.8
A0A2A9EJQ7,PF13561.9;PF00106.28;PF08659.13
A0A3Q9G2A9,PF00072.27;PF00486.31
A0A561WLN6,PF00072.27;PF00486.31
A0A7X2Z0A4,PF13561.9;PF00106.28;PF08659.13
A0A840P5V0,PF00072.27;PF00196.22
A0A511Z9R4,PF00005.30;PF13304.9;PF09818.12
A0A511Z9M2,PF00293.31;PF14815.9
A0A2N8KN56,PF13561.9;PF00106.28
A0A420DTJ6,PF00005.30;PF13304.9
G8PD88,PF01165.23
A0A0J1IMP5,PF00072.27;PF00486.31
A0A7H0YCQ1,PF00072.27;PF00486.31
A0A7H0YEI7,PF00072.27;PF00486.31
A0A2N8KD62,PF00392.24;PF07729.15
G8PE41,PF00673.24;PF00281.22
A0A7H0YFS2,PF02581.20
A0A7X2YY02,PF10263.12
A0A840NTK6,PF04149.15
A0A1C5J2P8,PF04149.15
A0A7X2Z1C7,PF07561.14
E5XUT2,PF00106.28;PF13561.9
S7ULX8,PF02502.21
A0A7W7CZ82,PF04149.15
A0A316EIH7,PF01592.19
A0A1N7L2C5,PF00005.30
A0A1H4SUU3,PF13977.9;PF00440.26
A0A099MYL0,PF14316.9
A0A1H4RU01,PF07210.15
A0A7W9G754,PF00005.30;PF13304.9
A0A7W7CQ93,PF00072.27;PF00196.22
A0A1H4KER6,PF00005.30
A0A1H4MFB7,PF00072.27;PF00486.31
A0A7V8RFZ3,PF02367.20
A0A1H5B1I9,PF17920.4;PF00440.26
A0A7W7CQ33,PF00005.30
A0A7W9L7E6,PF00072.27;PF00196.22
A0A099MXY0,PF13419.9;PF00702.29;PF13242.9
A0A7V8RFR2,PF00072.27;PF00196.22
A0A316FN35,PF01782.21
A0A316EET6,PF00005.30
W7CEX7,PF01588.23;PF14794.9
A0A7W9FYJ5,PF00072.27;PF00486.31
A0A7W7G1S7,PF04545.19;PF08281.15
A0A316FEW4,PF00156.30
A0A1H4PF69,PF00072.27;PF00486.31
Q92LS3,PF01850.24
W7CM70,PF03780.16
W7CJJ9,PF00977.24
A0A316F9A4,PF00072.27;PF00196.22
A0A7W7CN88,PF13411.9;PF00376.26
A0A7W7CZT2,PF08281.15
A0A1H4LFZ0,PF00072.27;PF00196.22
A0A1W9ZGE6,PF04542.17;PF04545.19;PF08281.15
A0A316F2B9,PF08281.15;PF04545.19;PF04542.17
W7CTH8,PF13561.9;PF00106.28
A0A316F929,PF00072.27;PF00196.22
A0A1H4NHQ1,PF00072.27;PF00196.22
A0A7W9GAE2,PF05685.15
A0A316F6G0,PF00196.22
A0A316F3N3,PF00196.22;PF00072.27
A0A075JIA5,PF09424.13
A0A7W7CVI8,PF17920.4;PF00440.26
Q92P14,PF13769.9
A0A1H4R397,PF00072.27;PF00196.22
A0A1H4KLK5,PF07729.15;PF00392.24
A0A7W7CN74,PF00072.27;PF00196.22
A0A7W9HDL6,PF00072.27;PF00196.22
A0A364JZB8,PF00011.24
A0A7W9HT32,PF00072.27;PF00196.22
A0A316FBZ7,PF18029.4
W7CJ59,PF07702.16;PF00392.24
A0A3D9JUN7,PF00072.27;PF00486.31
A0A101TSB0,PF04149.15
A0A0A5G1H2,PF00072.27;PF00196.22
A0A1Z1WDZ9,PF00440.26
C7Q8R5,PF00005.30
A0A3D9ICT7,PF00005.30;PF13304.9
A0A410WWF1,PF00072.27;PF00486.31
A0A3D9KBC9,PF00072.27;PF00486.31
A0A511DQP6,PF00072.27;PF00486.31
A0A3D9JN40,PF00072.27;PF00486.31
A0A410WQH8,PF00507.22
A0A3D9JUI6,PF13561.9;PF00106.28
A0A1H8XTP4,PF01641.21
A0A640TU59,PF00072.27;PF00196.22
A0A410X532,PF00486.31;PF00072.27
A0A2N6CXA3,
A0A410WPK6,
K9W760,
A0A316F749,
A0A7X2Z0A3,
A0A1H5AE27,
