query_id,accession_id
A0A4R8LWI9,PF12670.10
A0A4R8LBL1,PF04854.17
A0A4R8LIY8,PF09548.13
A0A2N3WGK0,PF04542.17;PF08281.15
A0A0R1QUV6,PF13672.9;PF00481.24
A0A4R6BTI0,PF00005.30;PF13304.9
A0A4Y4DP25,PF00829.24
A0A1V4ITX1,PF00005.30;PF13304.9
A0A1H0Q3J3,PF00072.27;PF00196.22;PF08281.15
A0A7Z0JC99,PF01386.22;PF14693.9
A0A1H2X7E5,PF01292.23
A0A511W998,PF00557.27
A0A1W2BCA1,PF00072.27;PF00196.22
A0A521FDG1,PF04828.17
A0A1H0TV50,PF00072.27;PF00196.22
A0A3L7A511,PF00210.27
A0A317Z268,PF00581.23
A0A1W2EWB6,PF13834.9
A0A840WAU1,PF01799.23
A0A315G2V5,PF01165.23
A0A7Z0J9I5,PF00392.24;PF07702.16
A0A0R2IIF7,PF00481.24;PF13672.9
A0A1H2Q8C4,PF00072.27;PF00196.22
A0A4Y4DLU8,PF01327.24
A0A0A1FCB1,PF00005.30
A0A1W2E0B3,PF03602.18
A0A7X5C2Y9,PF00072.27;PF00196.22
A0A0H4L358,PF06961.16
A0A840WZ26,PF12802.10
A0A511W346,PF00881.27
A0A840W8D5,PF00486.31;PF00072.27
W8GQR8,PF00072.27;PF00196.22
A0A1W2E1L6,PF01810.21
A0A0R2I5Z3,PF07702.16;PF00392.24
A0A511W2Q0,PF00072.27;PF00486.31
A0A4Y4DKX3,PF01638.20
A0A1H2SRH4,PF00166.24
A0A315EXW0,PF00072.27;PF00486.31
A0A511W9T5,PF00117.31
A0A7X4YLI1,PF13581.9
G0J045,PF02581.20
A0A0R2IG66,PF13275.9
A0A1H8WS13,PF06186.14
A0A511W508,PF00005.30;PF13304.9
A0A4Z0C3F2,PF17938.4;PF00440.26
A0A511W621,PF00005.30
A0A4Y4DT46,PF04542.17;PF08281.15;PF04545.19
A0A511W572,PF00011.24
A0A511W045,PF00005.30;PF13304.9
A0A317ZC99,PF03592.19
A0A511W7B8,PF02863.21;PF01316.24
A0A3G9M861,PF13305.9
A0A1H3DCH4,PF00239.24
A0A4Z0BW02,PF13561.9;PF00106.28;PF08659.13
A0A0R2IE05,PF00005.30;PF13304.9
A0A1H0NC55,PF01022.23
A0A521CZJ2,PF07264.14
A0A0A1FDU6,PF00072.27;PF00486.31
A0A1W2FT22,PF00072.27;PF00196.22
A0A0A1FGT9,PF00005.30
A0A315EUA8,PF11161.11
A0A4R8V8W7,PF00486.31;PF00072.27
A0A315G579,PF00072.27;PF00196.22;PF08281.15
A0A1H2UNJ9,PF01220.22
A0A511W622,PF00005.30
A0A511W494,PF00440.26
A0A4Z0BW47,PF00005.30
A0A511W166,PF00005.30
A0A1H1PN64,PF00072.27;PF00486.31
A0A0A1FAM7,PF00005.30;PF13304.9
A0A1W2EZC0,PF00072.27;PF00196.22
A0A511W0J9,PF00005.30;PF13304.9
A0A7Z0ENZ8,PF04149.15
A0A1I5BNW3,PF01047.25;PF12802.10
A0A379Y412,PF04608.16
A0A4Y9A949,PF13302.10
A0A2T0S9F2,PF01042.24
Q8XYP0,PF00005.30
A0A939C303,PF02597.23
A0A844XNM5,PF00005.30
A0A917M3B3,PF00072.27;PF00486.31
A0A024P643,PF01812.23
K2NHK8,PF13404.9;PF13412.9;PF01037.24
A0A1E5HE77,PF02325.20
A0A073JZL1,PF00072.27;PF00196.22
A0A940T3V7,PF00072.27;PF00196.22
A0A0G3EVS7,PF00072.27;PF00486.31
A0A073K1B2,PF02537.18
A0A8J3JLP4,PF03259.20
A0A073K2D7,PF01451.24
A0A8J3K736,PF00005.30
A0A0N9IAV8,
A0A1H0RNQ2,
A0A7X4YKK0,
A0A4V3HF24,
A0A1H8W8R1,
A0A7Z0JBE3,
A0A1H8TC31,
K2NAC8,
A0A4Y9A9F0,
