query_id,accession_id
A0A1W1YJL2,PF03960.18
A0A0M9DIM2,PF00005.30;PF13304.9
A0A5D4T3D3,PF03061.25;PF13279.9
A0A5D4T1W1,PF06612.14
A0A5D4SYL8,PF08281.15;PF04545.19;PF04542.17
A0A0M9DGS6,PF00005.30;PF13304.9
A0A0M9DGY9,PF00072.27;PF00486.31
A0A1C5IHW2,PF02575.19
A0A1C5HK10,PF00975.23;PF12697.10
A0A5D4SMX1,PF00528.25
A0A2W0C7M6,PF03960.18
A0A0R1RVE7,PF01022.23
A0A1C5IX25,PF08281.15;PF04545.19
A0A1I4U235,PF01037.24;PF13412.9;PF13404.9
A0A3E0J2K9,PF13302.10;PF00583.28
A0A1C5JLX9,PF00574.26
A0A1I1FYM6,PF00327.23
A0A0R1S5J2,PF02580.19
A0A5D4SWV8,PF00072.27;PF00486.31
A0A1I1E8T2,PF00005.30;PF13304.9
A0A0M9DIN4,PF01026.24
A0A561BRU3,PF02583.20
A0A2W0CD58,PF02627.23
A0A3E0JBG4,PF00381.22
A0A0N0CVD0,PF00005.30
A0A1I1KPK2,PF00005.30;PF13304.9;PF02463.22
A0A2W0CN92,PF00005.30;PF13304.9
A0A1C5GPK7,PF00005.30;PF13304.9
A0A8J3QXR6,PF00005.30;PF13304.9
V4RHF9,PF02589.18
S3ZPQ8,PF00486.31;PF00072.27
A0A5D4SQX8,PF03862.16
A0A5D4SXR5,PF04239.15
A0A0M9DLV0,PF00486.31;PF00072.27
A0A1I1H070,PF12850.10
A0A5D4T451,PF01016.22
A0A5D4T2R8,PF00005.30;PF13304.9
A0A2W0C836,PF00486.31;PF00072.27
A0A1I1LPK3,PF07702.16;PF00392.24
A0A3E0JDZ5,PF13686.9;PF02635.18
A0A2W0CSF7,PF00005.30
A0A2W0D0F8,PF01475.22
A0A5D4SL48,PF13419.9;PF00702.29
A0A5D4T084,PF00731.23
A0A2W0CCZ6,PF02152.21
A0A3E0JC82,PF00528.25
A0A5D4T003,PF00072.27;PF00486.31
A0A2W0C2W9,PF01312.22
A0A0R1RQA9,PF00005.30;PF13304.9
A0A0M9DNX7,PF00005.30
A0A1C5HGC2,PF00707.25;PF05198.19
A0A8J3QN06,PF13305.9
A0A5D4T4R2,PF00005.30
A0A160IJ04,PF04239.15
A0A3R9R947,PF10955.11
A0A2T6FWC0,PF09335.14
A0A2T6GAI1,PF00072.27;PF00486.31
A0A3R9QI05,PF13279.9;PF03061.25
A0A1B1AYV3,PF13561.9;PF00106.28;PF08659.13
A0A1G6P5A1,PF07729.15;PF00392.24
A0A2T6G850,PF03473.20
A0A1J0GGF5,PF00528.25
A0A1L3ENR7,PF00829.24
A0A2T6FZL8,PF00440.26
A0A428N367,PF00849.25
A0A160IJB1,PF00072.27;PF00486.31
A0A428MWB3,PF08503.13;PF00132.27;PF14602.9
A0A4Y8LTD2,PF01106.20
A0A4Y8M283,PF01638.20
A0A428N1D4,PF00085.23
A0A2T6G039,PF00005.30;PF13304.9
A0A7W9NM12,PF12802.10
A0A2T6G8Q1,PF08281.15;PF04545.19
A0A2T6FS30,PF01144.26
A0A3R9WLD0,PF00072.27;PF00486.31
A0A4Y8M3D0,PF00160.24
A0A118HJB3,PF01121.23
A0A1N6HCC8,PF04167.16
A0A3R9Q1U5,PF09527.13
A0A168VVI3,PF01047.25
A0A173MB97,PF01219.22
A0A3R9QNM1,PF00072.27;PF00196.22
A0A160IP34,PF02224.21
A0A1N6H5M7,PF00005.30;PF13304.9
A0A2T6G0I3,PF01047.25;PF12802.10
A0A160IMK3,PF00005.30
A0A1N6GAZ5,PF01230.26;PF11969.11
A0A0H4QLH8,PF00005.30
A0A2T6G2U4,PF00005.30;PF13304.9
A0A2T6G8U8,PF00486.31;PF00072.27
A0A3R9P7K2,PF00471.23
A0A1G6S2I7,PF00475.21
A0A5M4B3H5,PF04397.18;PF00072.27
A0A1B1B6S1,PF11239.11
A0A1N6G1B0,PF00072.27;PF00486.31
A0A0G9HEF7,PF00588.22
S3ZZT7,
A0A160IS67,
A0A5D4T0D3,
Q9X7U1,
