query_id,accession_id
A0A1I2FHA9,PF00753.30;PF19583.2
A0A1I2A3B4,PF00072.27;PF00486.31
A0A4R6N8T4,PF00486.31;PF00072.27
A0A4R8G1U9,PF01722.21
A0A6P0GJD3,PF01575.22
A0A1I2H9F2,PF00072.27;PF00486.31
A0A7W7F8H5,PF01243.23;PF10590.12
A0A1Y6H157,PF05494.15
A0A1I2J4E9,PF06445.18;PF14526.9
A0A5M3X2H7,PF00072.27;PF00486.31
A0A1I2HQA6,PF00881.27
A0A1I1ZSG2,PF00072.27;PF00486.31
A0A1I1Z025,PF00072.27;PF00486.31
D2PMM7,PF00072.27;PF00196.22
A0A1I2CSQ9,PF00072.27;PF00486.31
A0A0R3LZH6,PF00005.30;PF13304.9
A0A1I2IDS9,PF00072.27;PF00196.22
A0A1I2EUV1,PF13185.9
A0A6P0GM69,PF00072.27;PF00196.22
A0A7W3J5V3,PF08592.14
A0A1I2DI68,PF00005.30
D2PV27,PF08281.15;PF04545.19
A0A1I1ZUV6,PF07561.14
A0A5M3WKW2,PF00072.27;PF00196.22
A0A6P0GN16,PF00072.27;PF00196.22
A0A5M3WKH0,PF00011.24;PF17886.4
A0A2T1B658,PF14437.9;PF00383.26
A0A4S3PNA0,PF00440.26
Q81GK0,PF04607.20
A0A239JLE6,PF00072.27;PF00196.22
A0A4S3PUI3,PF00005.30
A0A4R2BGE4,PF00072.27;PF00196.22
A0A4R2BCT5,PF08281.15;PF04542.17
A0A918GE50,PF00005.30
Q81G73,PF01047.25;PF12802.10
E6LIT6,PF00581.23
Q816J1,PF00005.30
A0A0P0RDG1,PF01037.24;PF13412.9;PF13404.9
A0A1G9A6H2,PF00072.27;PF00486.31
A0A4S3PLI4,PF00528.25
A0A4R2BKD7,PF00403.29
A0A7W4URE6,PF00392.24;PF07729.15
A0A4R2BLG7,PF00571.31
A0A919T665,PF00072.27;PF00196.22
A0A918LI57,PF00072.27;PF00196.22
Q819R6,PF01252.21
Q81EN9,PF00005.30;PF13304.9
Q1LQK9,PF00543.25
A0A4S3PY34,PF00581.23
A0A7W4YGS8,PF00072.27;PF00486.31
A0A919TAW1,PF00072.27;PF00196.22
Q81HP0,PF00005.30
A0A1G9B5E5,PF14139.9
A0A4V2RE52,PF13302.10
A0A4S3PW82,PF01502.21;PF01503.20
Q81II6,PF00528.25
Q81I47,PF00072.27;PF00486.31
Q1LQE6,PF05154.19
A0A0P0RM95,PF00072.27;PF00196.22
A0A919TC82,PF12802.10;PF01047.25
B9JMX5,PF00072.27;PF00486.31
A0A0N7JUG5,PF13561.9;PF00106.28
A0A7W7SMJ0,PF00072.27;PF00196.22
B9JKR1,PF00072.27;PF00486.31
A0A4V2RDA7,PF00440.26
A0A4S3PS28,PF00106.28;PF13561.9
A0A7W7WSV6,PF00072.27;PF00196.22
Q812N5,PF10957.11
A0A238UVC0,PF00072.27;PF00196.22
A0A1G8YWC3,PF03960.18
A0A918G9T9,PF00072.27;PF00486.31
I1YK19,PF00072.27;PF00196.22
Q818U3,PF00005.30;PF13304.9
A0A380CWT1,PF02527.18
A0A4S3PNW9,PF14036.9
A0A4S3Q0I1,PF09501.13
A0A4S3PTT5,PF00005.30;PF13304.9;PF02463.22
A0A0D1A5P0,PF02537.18
Q81AB6,PF02683.18
A0A4S3PZ12,PF00085.23
A0A7W7SLA0,PF00486.31;PF00072.27
A0A918G642,PF00574.26
Q81BE3,PF00005.30;PF02463.22;PF13304.9
A0A1G8W2B2,PF06429.16
A0A917IPW8,PF00005.30;PF13304.9
A0A1G8WP67,PF00005.30
A0A380CRL9,PF02082.23
A0A7W4URK6,PF11273.11
A0A4R2BCS0,PF01475.22
A0A919TA29,PF04149.15
Q813A0,PF06961.16
A0A0D0Y641,PF00005.30;PF13304.9
A0A1G8X4L8,PF00005.30;PF02463.22
A0A2T1AZ93,
Q815Y5,
A0A1C5AE42,
Q1LBM2,
Q819C6,
A0A919W272,
Q81BU8,
