query_id,accession_id
A0A919FIF5,PF00196.22;PF00072.27
A0A7W6JFM2,PF01037.24;PF13412.9;PF13404.9
S4PQ01,PF08503.13;PF00132.27;PF14602.9
F3NF97,PF00166.24
A0A3M5N1D0,PF02777.21;PF00081.25
S4PQS7,PF01926.26
A0A7X0HGP3,PF00117.31;PF07722.16
S4PQU7,PF00005.30;PF13304.9
A0A1H1FSV4,PF00072.27;PF00196.22
A0A1G6A450,PF06844.14
A0A7K3S2G1,PF00072.27;PF00196.22
A0A919FU02,PF00106.28;PF13561.9
S4NAM6,PF00005.30;PF13304.9
A0A081NCG6,PF00216.24
A0A0M2HRH3,PF00005.30;PF13304.9
A0A1E7LQX8,PF00072.27;PF00486.31
A0A3N2B9P4,PF00072.27;PF00196.22
A0A0D0Q492,PF01126.23
F6EMV1,PF00072.27;PF00196.22
A0A172YKU6,PF00005.30
F3NJF0,PF03259.20
A0A919FL80,PF00072.27;PF00196.22
A0A7K3S5T1,PF00072.27;PF00196.22
A0A919FM79,PF00072.27;PF00196.22
A0A1E7LDX3,PF00196.22
F3NLL6,PF07702.16;PF00392.24
A0A3N2B9V5,PF00072.27;PF00196.22
S4NJ08,PF00005.30;PF13304.9
Q930D1,PF00005.30;PF13304.9
A0A7W7CM56,PF00072.27;PF00196.22
A0A512IBF2,PF00327.23
A0A7W7G238,PF13561.9;PF00106.28;PF08659.13
W7D1N3,PF01192.25
W7CTF0,PF00005.30
A0A1H5AMP0,PF05331.14
A0A7W9GI33,PF00072.27;PF00196.22
A0A7I7PFK8,PF00588.22
A0A7W7G1A7,PF00072.27;PF00486.31
A0A2N6CZM3,PF02613.18
A0A1H4ZQS7,PF00072.27;PF00196.22
W7CNW2,PF00528.25
A0A1N7JZ62,PF05930.15
A0A7V8RF71,PF00828.22
A0A2N6CUI3,PF00072.27
W7D1H3,PF00072.27;PF00486.31
A0A364JRM6,PF00005.30;PF12399.11
A0A7W7CXV3,PF17252.5
W7CPV8,PF02580.19
A0A7W9GI72,PF00072.27;PF00486.31
W7D7L3,PF04607.20
A0A7W9LCD5,PF00072.27;PF00486.31
A0A7W9LII2,PF00072.27;PF00196.22
A0A7W9GED1,PF00072.27;PF00196.22
K9W322,PF00005.30;PF13304.9
A0A7W9LCA3,PF14530.9
E5XTY8,PF00885.22
A0A7W9M2L9,PF01502.21
A0A7W7CQ65,PF00072.27;PF00486.31
A0A512ICL0,PF01592.19
A0A7W9FYM3,PF00005.30;PF13304.9
A0A7W7CZE6,PF00072.27;PF00196.22
A0A7W9HEU9,PF00005.30;PF13304.9
Q92RI3,PF02632.17
A0A316FP20,PF13083.9
W7CXX8,PF00814.28
W7CZ65,PF00005.30;PF13304.9
A0A7W9HSA6,PF12802.10;PF01047.25
A0A7W7CYE0,PF00072.27;PF00196.22
A0A1H5AZS6,PF01022.23;PF12840.10
A0A1W9ZD44,PF00730.28
A0A7W7CK00,PF00072.27;PF00196.22
A0A7W9LIH8,PF02909.20;PF00440.26
A0A2N6CUA3,PF02556.17
A0A316FTA4,PF00072.27;PF00196.22
A0A1H4VD55,PF00005.30;PF13304.9
Q92TE6,PF04280.18
A0A2N6D1D7,PF00072.27;PF00196.22
A0A7W7G5C5,PF02559.19
A0A7V8RCB1,PF00216.24
A0A7W7CTA8,PF00117.31
A0A1H4LC77,PF04149.15
A0A2R5EYR2,PF00072.27;PF00486.31
A0A060LTX9,PF00072.27;PF00196.22
A0A239MM75,PF00072.27;PF00196.22
A0A239G2B1,PF00903.28
A0A2R5EW87,PF00753.30
A0A1Q1G3E8,PF00239.24;PF02796.18
A0A7W8FA54,PF01022.23;PF12840.10
A0A3N5BFQ3,PF09827.12
A0A7W8BNW0,PF00440.26
A0A060M0L0,PF04140.17
A0A124HR93,PF00196.22
A0A7W8BRY6,PF08281.15
A0A844SJ17,PF02686.18
A0A2R5ENT0,PF00072.27;PF00486.31
A0A2R5EZE6,PF00005.30
A0A7W9GCV8,
F3NPU1,
A0A7W7CP76,
F6EHL0,
