query_id,accession_id
A0A3N6B757,PF00005.30;PF13304.9
A0A3N6C834,PF00005.30
A0A0L0K042,PF04149.15
W6T5B6,PF00072.27
A0A168JMM7,PF00005.30;PF13304.9
A0A2K9IZ70,PF00359.25
A0A4Q7L634,PF00440.26
A0A3N6B657,PF03741.19
A0A3N6B9I1,PF00528.25
A0A0P6W5P0,PF04239.15
A0A0F5PTQ7,PF00106.28;PF13561.9
A0A3N6D796,PF00005.30;PF13304.9
A0A4Q7KQ74,PF00005.30
A0A6F8XU58,PF13561.9;PF00106.28
K6YB33,PF00005.30;PF13304.9
A0A3N6A3H7,PF00005.30
A0A3N6AZ98,PF00005.30;PF13304.9
A0A3N6AQ67,PF04463.15
Q4A014,PF00005.30
A0A0P6WJG8,PF00005.30;PF13304.9
A0A3N6C790,PF00072.27;PF00486.31
A0A2K9IZB6,PF00005.30;PF13304.9
A0A168N388,PF00528.25
A0A168K8B2,PF00005.30
A0A0L0JKM0,PF02559.19
A0A0F5PZQ6,PF00486.31;PF00072.27
A0A653I8W2,PF00881.27
A0A428W4B5,PF03965.19
A0A168NQ36,PF00072.27;PF00486.31
A0A7X3CP16,PF13561.9;PF00106.28;PF08659.13
A0A6H9YMW0,PF00440.26
A0A7H0Y8Q9,PF00072.27;PF00486.31
A0A2N8KEY2,PF00072.27;PF00486.31
A0A840PID6,PF01799.23
A0A840NUF3,PF06197.16
A0A7X2Z1X8,PF00072.27;PF00196.22
A0A514JZ44,PF00005.30;PF13304.9
A0A7W7A363,PF13302.10;PF00583.28
A0A1M5DNI3,PF13412.9;PF01037.24;PF13404.9
A0A6H9YK70,PF00072.27;PF00486.31
A0A1M5FL02,PF02909.20
A0A7X2Z4B8,PF01022.23
A0A7X3CLC8,PF00072.27;PF00486.31
A0A7X3CLH2,PF01520.21
A0A840P1W9,PF02909.20;PF00440.26
A0A7X2Z209,PF04093.15
A0A1M5QB43,PF00072.27;PF00196.22
A0A7X3CNR7,PF01668.21
A0A1A7BLD6,PF00828.22
A0A1M5GCS0,PF08281.15;PF04545.19
A0A1C5IRB9,PF00072.27;PF00486.31
A0A6H9YJ78,PF00072.27;PF00196.22
A0A7X3CMS0,PF00072.27;PF00196.22
A0A511Z644,PF03862.16
A0A7X3CQG8,PF00436.28
A0A1M5D823,PF12840.10;PF01022.23
A0A7X2YXH5,PF00881.27
A0A7H0Y9G4,PF13419.9;PF00702.29;PF13242.9
A0A1M5AQT1,PF00005.30
A0A840PMY2,PF12802.10;PF01047.25
A0A7H0YEW8,PF00210.27
A0A0E3YBF3,PF00072.27;PF00486.31
A0A5C6U1P4,PF00484.22
A0A7X3CPU1,PF08818.14
A0A840PD02,PF00072.27;PF00196.22
A0A511Z7X6,PF00486.31;PF00072.27
A0A511Z6G8,PF00486.31;PF00072.27
A0A7X2Z4V2,PF00072.27;PF00486.31
A0A0E3Y9B1,PF17136.7
A0A7H0YFK2,PF00072.27;PF00486.31
A0A512IVQ3,PF00297.25
A0A7H0YFE8,PF00005.30;PF13304.9
A0A7X2Z6G9,PF00269.23
A0A7H0YB76,PF00005.30;PF13304.9
A0A0S2DV83,PF08281.15;PF04545.19
A0A511Z5M5,PF06133.14
A0A7X3CNZ0,PF00072.27;PF00196.22
A0A2N8KH32,PF00005.30;PF13304.9
A0A511ZC40,PF00072.27;PF00486.31
A0A0S2DUK4,PF06271.15
A0A840PNA5,PF01243.23
A0A511ZB83,PF00334.22
A0A561WMP4,PF00072.27;PF00196.22
A0A1A7BDV4,PF00072.27
A0A7X2Z0Z9,PF01312.22
A0A7H0YFC8,PF07729.15;PF00392.24
A0A561WQ78,PF00072.27;PF00486.31
A0A7H0Y610,PF03070.19
A0A511Z481,PF00072.27;PF00486.31
A0A561VM77,PF19462.2
A0A7X2YZL5,PF03780.16
A0A7H0YEV9,PF00072.27;PF00486.31
A0A6H9YGE8,PF03259.20
A0A7X2Z5V8,PF00005.30;PF13304.9
A0A7X2YZ78,PF00005.30;PF13304.9
A0A7X3CNB3,PF04542.17;PF04545.19
A0A653IGR5,
A0A1G8WLD9,
A0A7H0YGP0,
A0A0P6W6R8,
