query_id,accession_id
A0A410WY71,PF00072.27;PF00486.31
A0A0A6USB6,PF00072.27;PF00196.22
A0A410WVA4,PF00885.22
A0A562QA49,PF00366.23
A0A1H5SZR6,PF00072.27;PF00486.31
A0A2X1BGT6,PF04542.17;PF08281.15
A0A7Z7RIF1,PF00528.25
A0A6I5N689,PF00072.27;PF00196.22
A0A917RY10,PF14098.9
A0A1H4QZ41,PF00005.30;PF13304.9
A0A918EEG9,PF04149.15
A0A1H4YYZ7,PF02381.21
A0A1L6FE97,PF16137.8
A0A542DXZ2,PF00072.27;PF00196.22
A0A8G2MX80,PF12804.10
A0A1G7Y2W0,PF01872.20
A0A918EGK5,PF00893.22
A0A1H4YFM9,PF13466.9
A0A917S181,PF03819.20
A0A1H4PEB8,PF04149.15
A0A8G1UKQ8,PF13662.9;PF02132.18
A0A6I5N550,PF00486.31;PF00072.27
A0A7C9MAE0,PF11911.11
A0A1D7QT44,PF00005.30
A0A387FZ52,PF00072.27;PF00486.31
A0A7C9HCD5,PF00313.25
A0A1D7QTJ3,PF01926.26
A0A387FHG1,PF07729.15;PF00392.24
A0A1D7QTH1,PF01127.25
A0A1Y2N829,PF00694.22
A0A1Y2MZZ5,PF08281.15;PF04542.17
A0A0R1QH28,PF00528.25
A0A1D7QTX4,PF00005.30
A0A387G5D1,PF07729.15;PF00392.24
A0A1Y2MQ27,PF02325.20
A0A562WFJ2,PF03358.18
A0A1D7QR59,PF01370.24;PF13460.9
Q9A764,PF00005.30
A0A1G7Y0P2,PF02575.19
A0A562W973,PF13561.9;PF00106.28;PF08659.13
A0A1D7QY90,PF00731.23
A0A1Y2MNI2,PF04075.17
A0A1D7QWD5,PF01327.24
A0A1D7QZE8,PF00072.27;PF00196.22
A0A0F5VBM3,PF00313.25
A0A1D7QR05,PF00072.27;PF00196.22
A0A0R1QE07,PF02686.18
A0A562WAN9,PF00037.30
A0A1D7QYJ3,PF00085.23
A0A1D7QZX6,PF00252.21
A0A387FIR7,PF01641.21
Q9A878,PF02397.19
A0A0M6XVI9,PF04325.16
A0A327W8A2,PF00005.30;PF13304.9
A0A562WJ98,PF08291.14;PF01471.21
A0A0M6Y5I8,PF08534.13;PF00578.24
A0A0M6YBD4,PF01037.24;PF13404.9;PF13412.9
A0A1D7QZ49,PF13561.9;PF00106.28;PF08659.13
A0A0R1QF76,PF00005.30
A0A1U6JBY6,PF00005.30
A0A562WFY6,PF00005.30
A0A562WEP6,PF03575.20
A0A7C9LBF2,PF05845.15
A0A0R1QCX1,PF02502.21
A0A1D7QTK1,PF08359.14;PF00440.26
A0A327W5E4,PF03352.16
A0A1D7QWT2,PF01022.23;PF12840.10
A0A1Y2MJJ6,PF01613.21
A0A1D7QUE4,PF00005.30
A0A1D7QR71,PF06778.15
A0A1D7QYJ6,PF13545.9;PF00027.32
A0A562W9T0,PF11774.11
A0A7X5Y720,PF00543.25
A0A919BUN9,PF00072.27;PF00196.22
A0A1V0GUF7,PF00005.30;PF13304.9
A0A1I6HRK0,PF00881.27
A0A919EIC4,PF00072.27;PF00196.22
A0A1G9WGA8,PF00383.26;PF14437.9
A0A1I7D748,PF02909.20;PF00440.26
A0A1G9UC24,PF02537.18
A0A554WLD7,PF13561.9;PF00106.28;PF08659.13
A0A554WK52,PF00691.23
A0A917K8N6,PF13279.9;PF03061.25
A0A554WLE7,PF16137.8
A0A554WQZ7,PF00571.31
A0A554WSP6,PF13664.9
R1AWU3,PF01584.22
A0A554WGK7,PF01165.23
A0A554WC82,PF00072.27;PF00486.31
A0A554WVP2,PF00486.31;PF00072.27
A0A554WG06,PF02152.21
A0A554WMG6,PF17938.4;PF00440.26
A0A554WK20,PF00216.24
A0A1Y2N3Q8,
Q3SNT3,
A0A4R2NQZ4,
A0A1D7QTR4,
A0A1I4Z1K2,
A0A562WJC5,
A0A1Y2MMR0,
