query_id,accession_id
A0A089LVN0,PF00486.31;PF00072.27
K8E2J7,PF00893.22
A0A089LU56,PF02441.22
A0A089M0P2,PF01081.22
A0A166VBU1,PF01475.22
A0A089LZF9,PF13545.9;PF00027.32
A0A330HYD1,PF01467.29
A0A089LZ66,PF00085.23
K8E4F3,PF00696.31
A0A075R8U4,PF08281.15;PF04542.17;PF04545.19
A0A0R2CH37,PF00005.30
A0A0R2CLX8,PF04545.19;PF04542.17
A0A0D1CSU9,PF00528.25
Q9KBA2,PF08281.15;PF04545.19
A0A0J6FVJ9,PF02585.20
A0A089LPP1,PF00005.30;PF13304.9
A0A089LW20,PF00072.27;PF00486.31
A0A089LU68,PF08281.15;PF04542.17;PF04545.19
Q9KAW0,PF12802.10;PF01047.25
S9ZGF0,PF00293.31
Q9KGD1,PF00005.30;PF13304.9
A0A1M6R529,PF00005.30;PF13304.9
Q9KB13,PF00072.27;PF00196.22
A0A075QZN6,PF00893.22
A0A330HY06,PF00072.27;PF00486.31
A0A089LQP7,PF00528.25
A0A0J6CQD9,PF13302.10;PF00583.28
A0A0R2CKC1,PF02581.20
A0A089LUD7,PF03775.19
K8ENF5,PF00005.30;PF13304.9
A0A4Y7XB60,PF00825.21
Q9KDM1,PF00005.30;PF13304.9
A0A0R2CQR0,PF00164.28
A0A089LX47,PF00072.27;PF00486.31
A0A4V0CT85,PF00005.30;PF13304.9
K8E4E0,PF01475.22
A0A0J6CSC0,PF00380.22
A0A075R859,PF03975.16
A0A7W7YS36,PF00005.30
A0A8J3KCZ6,PF00072.27;PF00196.22
A0A101NSD8,PF00072.27;PF00486.31
A0A2S6N0A8,PF13561.9;PF00106.28;PF08659.13
A0A1H8FN05,PF00625.24
A0A2A9D382,PF00072.27;PF00486.31
A0A243QEE7,PF00005.30;PF13304.9
A0A1H7YJQ9,PF03963.17
A0A101NRC3,PF00196.22;PF00072.27
A0A1I3KY70,PF09335.14
A0A101NIG1,PF00072.27;PF00196.22
A0A7W8DF84,PF04102.15
S9QYA4,PF13561.9;PF00106.28
T0DMT1,PF00528.25
S9S837,PF00005.30
A0A7W7V6T9,PF00072.27
S9R0L6,PF07729.15;PF00392.24
I3DUK5,PF09986.12
S9QY91,PF00005.30
S9QX74,PF00276.23
I3DZA3,PF00227.29
A0A7W7XZ21,PF00072.27;PF00486.31
A0A7W8DFI8,PF00528.25
S9QU45,PF00072.27;PF00486.31
S9SIK1,PF03364.23
S9QSR1,PF00005.30;PF13304.9
S9QU10,PF00849.25
T0CJV9,PF10502.12
S9R2J3,PF00072.27;PF00486.31
A0A7W8DE67,PF04542.17;PF08281.15
A0A7W7Y0Q5,PF00912.25
S9SM90,PF00072.27;PF00486.31
S9RWJ5,PF02469.25
I3E7C9,PF00269.23
A0A7W7V703,PF00072.27
A0A7W8DF81,PF01127.25
A0A7W7XYJ0,PF00702.29
S9QZT8,PF06844.14
S9R3Q9,PF00005.30
S9R6Z2,PF07729.15;PF00392.24
I3EC38,PF10955.11
S9R3J8,PF00005.30
S9S6T9,PF01521.23
S9QYE3,PF07729.15;PF00392.24
A0A7W7V6V0,PF13404.9;PF01037.24;PF13412.9
S9S8D2,PF01182.23
S9QW55,PF00005.30;PF13304.9
T0BRG0,PF00072.27;PF00486.31
S9QSZ6,PF04314.16
I3E8J5,PF02537.18
A0A7W7XZM1,PF00072.27;PF00486.31
A0A7W7Y0J4,PF00005.30
I3E973,PF00072.27;PF00196.22
I3E907,PF01323.23;PF13462.9
S9RY51,PF02924.17
I3EB92,PF00005.30;PF13304.9
S9RXV1,PF13561.9;PF00106.28;PF08659.13
A0A7W8IST5,PF00528.25
A0A1I3KWP9,
S9SC41,
S9S6U4,
A0A0J6CJC9,
