query_id,accession_id
A0A512PHX6,PF04542.17;PF04545.19;PF08281.15
A0A5Q2NDS4,PF01381.25
A0A5Q2NB49,PF07301.14
A0A1G9FXC3,PF00160.24
A0A1L8R1X8,PF00005.30;PF13304.9
A0A5Q2N591,PF01451.24
A0A512PIG0,PF02686.18
A0A239D290,PF01197.21
A0A543G9Z3,PF00072.27;PF00196.22
A0A8J4A0H1,PF00005.30
A0A5Q2NAX7,PF08761.14
A0A8J4A1F4,PF00072.27;PF00196.22
A0A8J3ZMP1,PF00072.27;PF00486.31
A0A1X9LP63,PF01081.22
A0A4R2S9K6,PF13561.9;PF00106.28;PF08659.13
A0A8J4EGB2,PF00440.26
W4V0F6,PF00072.27;PF00486.31
A0A226QRC0,PF07702.16;PF00392.24
A0A226QN34,PF01451.24
A0A226QPP1,PF00583.28;PF13508.10;PF13673.10;PF13527.10
A0A226QIQ8,PF01966.25
A0A226QNN0,PF00156.30
A0A226QN08,PF00072.27
A0A226QKB4,PF00575.26
A0A226QIS0,PF08970.13
A0A226QSB1,PF03780.16
A0A226QI78,PF03862.16
A0A226QK18,PF17313.5
A0A226QNK2,PF00406.25;PF13207.9;PF05191.17
A0A226QQ96,PF04025.15
A0A226QQW1,PF01638.20
A0A226QRJ1,PF00005.30;PF13304.9
A0A226QR11,PF00005.30;PF13304.9
A0A226QKK9,PF13302.10;PF00583.28
A0A226QS26,PF01928.24
A0A226QQ31,PF00005.30;PF13304.9
A0A226QIZ4,PF02829.17;PF08279.15
A0A226QNH6,PF10949.11
W9EAE3,PF00072.27;PF00196.22
A0A226QIV7,PF13669.9;PF00903.28
A0A226QJP6,PF00881.27
A0A226QP88,PF00877.22
A0A226QKN0,PF00117.31
A0A226QIT6,PF13581.9
A0A226QRN0,PF00625.24
A0A226QJ72,PF00583.28;PF13673.10;PF13508.10;PF13420.10;PF13302.10
A0A226QLN8,PF01316.24;PF02863.21
A0A226QKK8,PF01022.23;PF12840.10
A0A226QKB3,PF04199.16
A0A226QNU2,PF02357.22
A0A226QQD8,PF00072.27;PF00196.22
A0A226QLN4,PF00977.24
A0A226QMR2,PF02390.20
A0A226QRB3,PF05239.19
A0A226QJE5,PF01027.23
A0A226QTM9,PF02589.18
A0A226QNE3,PF13561.9;PF00106.28
A0A226QKC1,PF00005.30;PF13304.9
A0A226QK70,PF00581.23
A0A226QMR3,PF07729.15;PF00392.24
A0A226QMR5,PF00392.24
A0A226QQS4,PF12706.10;PF00753.30
A0A226QTQ2,PF00005.30;PF13304.9
A0A226QNY1,PF01451.24
A0A226QSC6,PF01242.22
A0A226QST9,PF10502.12
A0A226QPU1,PF02049.21
A0A226QNN3,PF04542.17
A0A226QHE1,PF02334.19
A0A226QJB3,PF13279.9;PF03061.25
A0A226QLY1,PF00383.26;PF08211.15
A0A226QH79,PF09680.13
A0A226QKM7,PF11007.11
A0A226QKV5,PF14140.9
A0A226QKU1,PF08141.15
A0A226QNW4,PF10263.12
A0A226QND1,PF17099.8
A0A840PU30,PF00005.30
A0A840Q6J1,PF01475.22
A0A840PPB1,PF00072.27;PF00196.22
A0A840PRK9,PF00300.25
A0A2S5T001,PF00117.31;PF07722.16
A0A2S5T384,PF13489.9;PF08241.15;PF13649.9;PF13847.9;PF08242.15;PF01209.21
A0A2S5T2P5,PF01037.24;PF13404.9;PF13412.9
A0A2S5T838,PF00196.22;PF00072.27
I0IV95,PF00485.21;PF13238.9
A0A2S5T2W3,PF01914.20
G1UIT7,PF00578.24;PF08534.13
A0A2S5T1W9,PF02597.23
A0A2S5T3K8,PF05728.15
A0A2S5T657,PF00005.30
A0A2S5T211,PF00528.25
A0A2S5T608,PF01330.24;PF14520.9;PF07499.16
A0A2S5T082,PF00072.27;PF00196.22
A0A931JKC6,
A0A226QRZ4,
A0A226QRY9,
A0A226QLF7,
A0A226QK63,
A0A226QR26,
