query_id,accession_id
G0FY70,PF00072.27;PF00196.22
A0A6I3X5F8,PF00005.30;PF13304.9
A0A7G7MRP9,PF17932.4;PF00440.26
G0FNB2,PF00196.22
A0A378LP79,PF03449.18;PF01272.22
A0A7G7MRI7,PF04542.17;PF08281.15
A0A2A9G420,PF00574.26
G0FY93,PF13561.9;PF00106.28;PF08659.13
G0FQQ8,PF00571.31
A0A7G7ML84,PF02700.17
A0A0D1XYX3,PF00392.24;PF07729.15
A0A1R4JMX2,PF04542.17;PF08281.15
A0A7G7MEP0,PF00174.22
G0FP30,PF14012.9
G0AHP0,PF00072.27;PF00486.31
G0FXY5,PF00005.30;PF13304.9
G0G3R8,PF00486.31;PF00072.27
A0A6I3XFI5,PF00072.27;PF00486.31
G0G5S3,PF00005.30
G0FKS7,PF03029.20
G0FLG9,PF00072.27;PF00486.31
A0A1H0U064,PF13561.9;PF00106.28;PF08659.13
A0A2K4QAZ0,PF00072.27;PF00196.22
A0A7G7MRT1,PF00072.27;PF00196.22
G0FJH0,PF00005.30
A0A1H0W9B2,PF00005.30
A0A0D1WFF1,PF00072.27;PF00486.31
G0AFK2,PF09278.14;PF13411.9;PF00376.26
A0A5B8TML8,PF00005.30
A0A0M0H8X6,PF00072.27;PF00486.31
G0G2C8,PF08281.15
G0ACL8,PF00005.30
G0FSK2,PF00005.30
A0A7G7MF01,PF00072.27;PF00196.22
Q2CH71,PF07729.15;PF00392.24
A0A7G7MKV7,PF02537.18
G0AA87,PF01451.24
G0FU20,PF00072.27;PF00196.22
A0A7I7LIT3,PF00753.30
A0A6I3XCD7,PF00005.30
A0A7G7MB57,PF18029.4
G0G686,PF13561.9;PF00106.28
A0A6I3XA49,PF01037.24;PF13412.9;PF13404.9
A0A6I3XNF9,PF13417.9;PF02798.23;PF13409.9
G0G917,PF00072.27;PF00486.31
G0FRX1,PF13483.9
A0A7I7LMT9,PF07371.15
A0A2A9F896,PF00011.24;PF17886.4
Q2CHS7,PF00005.30
A0A2A9FYP3,PF02254.21
A0A1H0UUQ0,PF00381.22
A0A6A0BMK0,PF09424.13
A0A841Z8K5,PF13302.10
D5ZR50,PF12679.10
A0A6G3TGU9,PF01037.24;PF13412.9;PF13404.9
A0A841ZAJ4,PF00510.21
A0A7Y9RS16,PF02130.20
A0A1I2AWK8,PF14437.9;PF00383.26
D5ZUX2,PF03259.20
W7BTZ6,PF13507.9
A0A3D9ZDE9,PF13561.9;PF00106.28
A0A0M0L7C7,PF02545.17
A0A0M0KQT5,PF13561.9;PF00106.28
A0A0M0LGS1,PF10676.12
A0A0M0KZH3,PF01965.27;PF17124.8
W7C7T5,PF07408.14
A0A0M0KQS8,PF02525.20
A0A841Z176,PF02152.21
A0A8F9S9R0,PF00440.26
W7CIN4,PF00486.31;PF00072.27
A0A0M0L050,PF01475.22
A0A3D9ZRS8,PF07702.16;PF00392.24
A0A6A0BLC6,PF00072.27;PF00486.31
A0A6G3TQX1,PF00072.27;PF00196.22
A0A0M0L683,PF13302.10;PF00583.28
A0A5B2UMI3,PF02472.19
A0A0M0L8T2,PF01022.23;PF12840.10
A0A0R2D679,PF01649.21
A0A7G7CB26,PF00072.27;PF00196.22
A0A2M8WLN7,PF13404.9;PF01037.24
A0A5B2UQP9,PF02556.17
A0A062VG12,PF00106.28;PF13561.9
D6A8S8,PF00072.27;PF00196.22
W7C8Q7,PF09902.12
A0A0M0L7E5,PF00085.23
A0A6C2C9Z0,PF02472.19
W7BZ35,PF02681.17
A0A5B2UV75,PF01327.24
A0A0M0L7K2,PF00994.27
A0A0R2DBT2,PF01475.22
A0A6C2CM41,PF00528.25
A0A8F9S4A1,PF02080.24
A0A0M0KEZ6,PF00977.24
A0A7G7CAK3,PF01202.25
A0A841ZAY6,PF13614.9;PF01656.26
A0A1I7NF82,PF00677.20
A0A1I7NGQ2,PF00005.30
W7CFV3,PF02033.21
A0A7G7CBG7,
A0A2W7QZL5,
