query_id,accession_id
A0A1C6RI72,PF00106.28;PF13561.9
A0A3P3FEN7,PF04828.17
A0A6V8L1Y8,PF00486.31;PF00072.27
A0A6V8KX92,PF00072.27;PF00196.22
A0A853BGC6,PF02525.20
A0A1Q2D3N3,PF00072.27;PF00486.31
A0A6V8KZ98,PF01202.25
A0A0R1J661,PF00005.30;PF13304.9
A0A1Q2D6K5,PF00005.30;PF13304.9
A0A1I0QW47,PF00005.30
A0A1Q2D7U4,PF00005.30;PF13304.9
A0A853AZ47,PF17136.7
A0A1Q2D475,PF00117.31;PF07722.16
A0A0R1IY80,PF00005.30;PF02463.22;PF13304.9
A0A3P1SK68,PF00254.31
A0A1Q2D3Q7,PF01926.26
A0A064CP39,PF00072.27;PF00486.31
A0A1H1NP81,PF00005.30
A0A1Q2D452,PF00005.30
A0A1Q2D746,PF00005.30
A0A4Q2RZ30,PF00072.27;PF00196.22
X0P9I1,PF01327.24
W5TIA9,PF05331.14
A0A1I6RT35,PF01037.24
A0A1Q2D5C1,PF00692.22
A0A6V8L4K3,PF00072.27;PF00196.22
A0A1G7EBE1,PF13412.9;PF01037.24;PF13404.9
A0A1C6SHY2,PF00392.24;PF07729.15
A0A1Q2D6Y9,PF00005.30;PF13304.9
A0A840RBT9,PF01022.23
A0A1Q2D967,PF00005.30
D3EZ52,PF00005.30
X0PIR0,PF07977.16
A0A385DC35,PF00072.27;PF00196.22
A0A840RBY8,PF13545.9;PF00325.23
A0A1Q2D3P9,PF02686.18
A0A1Q2D6K4,PF01048.23
A0A3N4V057,PF04519.16
D3F7K2,PF03473.20;PF03475.17
A0A1G7AS65,PF13561.9;PF00106.28;PF08659.13
B9K0U5,PF00392.24;PF07729.15
A0A7D3W3X4,PF00440.26
A0A1I6SEL2,PF04149.15
A0A852YTT7,PF00072.27;PF00486.31
A0A1G7CE92,PF13561.9;PF00106.28;PF08659.13
A0A4V1RKX6,PF00072.27;PF00196.22
A0A6V8KYE1,PF00005.30
A0A6I6KYS5,PF00072.27;PF00196.22
A0A2U1F714,PF01872.20
A0A917PZ02,PF00132.27
A0A2U1F8D6,PF00117.31
A0A365PAM1,PF02686.18
A0A2T3JJP1,PF00072.27;PF00486.31
H5XFL5,PF00392.24
A0A2T4LP13,PF00005.30
A0A918FRD4,PF02325.20
A0A3N6CAU6,PF00216.24
A0A512FLG3,PF00005.30;PF13304.9
A0A3N6DB69,PF00072.27;PF00486.31
A0A1H9ALP3,PF18029.4
A0A3N6CWF8,PF13302.10;PF00583.28
A0A2T4LPN3,PF06491.14
A0A3N6D2R3,PF04542.17
A0A3N6BN65,PF13302.10
A0A0R2LJZ6,PF00216.24
A0A3N6CDE1,PF00005.30;PF13304.9
A0A917PX99,PF00072.27;PF00486.31
A0A3N6EX54,PF00072.27;PF00486.31
A0A3N6CA48,PF00005.30;PF13304.9
A0A3N6CI84,PF00072.27;PF00486.31
A0A1I5H4Z0,PF00293.31
A0A0R2LI19,PF01475.22
W8I4P7,PF00005.30;PF13304.9
A0A3N6BLG3,PF13561.9;PF00106.28
A0A852WIS5,PF00440.26
W8I921,PF00072.27;PF00486.31
A0A562SIB7,PF02742.18;PF01325.22
A0A3N6CSX2,PF02082.23
A0A852W837,PF00542.22;PF16320.8
A0A1M6FSL9,PF04023.17
A0A1I2N4U3,PF01022.23
A0A4R3V9D7,PF00849.25
A0A1R1AYD6,PF03477.19
A0A1M6ICW8,PF01197.21
A0A317RI92,PF00072.27
A0A4R6RUT4,PF00072.27;PF00486.31
A0A1R1B3N2,PF04309.15
A0A1R1B7V8,PF02130.20
A0A0R1U159,PF00005.30;PF13304.9
A0A4R3UPP4,PF03948.17;PF01281.22
A0A4Q1QZT3,PF00486.31;PF00072.27
K6BW73,PF01584.22
A0A564G0K3,PF00486.31;PF00072.27
A0A1I2UE46,PF01923.21
A0A1Q2D7L2,
A0A853BA64,
A0A840RDW0,
A0A1C6RQ99,
A0A561VK82,
A0A4Q2S1U8,
