query_id,accession_id
D1A4F5,PF00486.31
D1AAL4,PF04149.15
A0A150M5T5,PF00849.25;PF01479.28
D1A764,PF04542.17;PF08281.15;PF04545.19
D1A6U5,PF05331.14
D1A4L4,PF01475.22
A0A150L590,PF01206.20;PF00581.23
D1ABN6,PF01613.21
D1A970,PF00468.20
D1A8U2,PF00174.22
A0A150L3F7,PF02082.23
D1A6D9,PF02342.21
D1A548,PF00156.30
A0A150LVR1,PF13580.9
D1AC76,PF01641.21
D1ADP6,PF01475.22
D1A5D6,PF02559.19
A0A150LT31,PF12850.10
A0A150L3G3,PF03070.19
D1ACR3,PF01872.20
D1ADK4,PF00440.26
D1ABG4,PF00072.27;PF00196.22
A0A150L5U8,PF07301.14
A0A150LMR4,PF01081.22
D1ADA9,PF00903.28;PF18029.4
D1A796,PF04149.15
D1A7W3,PF08207.15;PF09285.14;PF01132.23
D1A497,PF04542.17;PF08281.15
A0A150M4A1,PF02417.18
D1AAV4,PF00334.22
D1A415,PF13302.10
D1A9V2,PF08281.15;PF04545.19
D1A4A3,PF12728.10
A0A150LSG1,PF08359.14;PF00440.26;PF17932.4
D1A4M7,PF00440.26
D1AF71,PF04149.15
A0A150LBS1,PF00583.28;PF13673.10
A0A150LSY1,PF17898.4
A0A150LCG8,PF13302.10;PF00583.28
D1A403,PF01810.21
D1A2Y5,PF04203.16
D1A8X0,PF01037.24
D1A485,PF00300.25
A0A150LCD9,PF07736.14
A0A150M432,PF13419.9;PF00702.29;PF13242.9
D1A3X7,PF00072.27;PF00196.22
D1A2A8,PF01799.23
A0A150LBA2,PF00005.30;PF13304.9
D1A6J4,PF01638.20
D1A6U6,PF03259.20
D1AE06,PF01939.19
D1AB94,PF13561.9;PF00106.28
A0A150KWK4,PF01022.23;PF12840.10
A0A150LDN2,PF02224.21
A0A150M4T0,PF00453.21
D1AE92,PF08241.15;PF13649.9
D1A720,PF01502.21
D1A233,PF04149.15
D1A4T3,PF04149.15
A0A150M3A2,PF10609.12;PF13614.9;PF01656.26
A0A150M5D4,PF01121.23
A0A150LHL8,PF14437.9;PF00383.26
A0A150M353,PF00072.27;PF00196.22
D1A1E7,PF00583.28;PF13508.10;PF13673.10;PF13527.10
D1A2E8,PF18029.4
D1AAT0,PF01083.25
D1AE68,PF00440.26
D1AA88,PF01649.21
A0A150L545,PF02683.18
A0A150L4E8,PF00227.29
D1A3H2,PF00072.27;PF00196.22
D1A221,PF13305.9;PF00440.26
D1ACF9,PF07336.14
D1AE35,PF01197.21
D1AE47,PF12728.10
A0A150LVS4,PF00583.28;PF13673.10;PF13420.10;PF13508.10;PF13302.10
A0A150L562,PF01245.23
D1A1N7,PF02245.19
D1AEA7,PF13466.9;PF01740.24
D1A387,PF00005.30;PF13304.9
A0A150KTX1,PF00877.22
D1AEY8,PF01668.21
A0A150L3C8,PF00005.30;PF13304.9
D1AC36,PF01810.21
D1ACX9,PF01035.23
D1A4F8,PF04542.17;PF04545.19;PF08281.15
D1AD05,PF13581.9
A0A150LFK9,PF01202.25
A0A150KU69,PF01451.24
D1A8D0,
D1AF04,
D1A253,
D1A5F4,
D1AA89,
D1ACG6,
D1A8Z2,
D1A1X7,
D1A8S9,
D1A6E2,
D1AAH3,
