query_id,accession_id
A0A1E7XB38,PF00005.30
A0A919SII0,PF00468.20
A0A919SR56,PF00005.30
A0A3M8AYK0,PF04472.15
A0A1E7X8Q5,PF00486.31;PF00072.27
A0A919S9S1,PF13561.9;PF00106.28;PF08659.13
A0A8B2PAU1,PF00072.27;PF00196.22
A0A8B2NY61,PF01042.24
A0A285N7I1,PF00005.30
A0A1H7GGY6,PF01192.25
A0A1Y2MQM4,PF00440.26
A0A285NY70,PF00005.30;PF13304.9
A0A1D2L3V3,PF00005.30
A0A918YB12,PF00196.22
A0A4R6JN43,PF03029.20
A0A3M3KSC8,PF00005.30
A0A085A515,PF01451.24
A0A1G7V7R2,PF02798.23;PF13417.9
A0A386WKF4,PF00072.27;PF00486.31
A0A7X5V4M4,PF00486.31;PF00072.27
A0A377Q687,PF00293.31
A0A377ST63,PF02508.17
A0A919CUE6,PF00005.30
A0A1D2LUN7,PF01709.23
A0A2S7CXG9,PF13561.9;PF00106.28
A0A8B2P207,PF04542.17;PF04545.19;PF08281.15
A0A2T6GQH9,PF00005.30
A0A1Y2N2C2,PF08962.14
A0A285P0M7,PF00072.27;PF00486.31
A0A1H7HKB4,PF00072.27;PF00196.22
A0A919CTS7,PF02734.20
A0A1D2K8M2,PF00072.27;PF00486.31
A0A285NLE9,PF00072.27
A0A2T6GKL8,PF00005.30;PF13304.9
A0A291C0R1,PF13411.9;PF00376.26
A0A1H7M035,PF00072.27
A0A1Y2MZ18,PF03259.20
A0A285P1I7,PF00005.30
A0A285N2J9,PF02527.18
A0A919CVL2,PF00072.27;PF00486.31
A0A1D2KW20,PF06962.15
A0A285NJD6,PF01782.21;PF05239.19
A0A4R6JYU0,PF00166.24
A0A291C122,PF00581.23
A0A511UXE5,PF01475.22
A0A285P5H6,PF00005.30;PF13304.9
A0A4R6JNS9,PF00072.27;PF00486.31
A0A1D2JZT6,PF13581.9
A0A1D2L581,PF00005.30
A0A4V3C8L1,PF00486.31;PF00072.27
A0A4R6JZM0,PF13561.9;PF00106.28
A0A248TJR3,PF00005.30;PF13304.9
A0A248TIZ7,PF00005.30;PF13304.9
A0A285NX60,PF07486.15
A0A248TCT1,PF01245.23
A0A4R6JTQ6,PF08281.15;PF04542.17
A0A248TKM8,PF08359.14;PF00440.26;PF17932.4
A0A1H7FNX1,PF04608.16
A0A3T1CI15,PF13409.9;PF13417.9;PF02798.23;PF00043.28
A0A2N7W5H1,PF00005.30
A0A248TPT4,PF04463.15
A0A1Y0ER91,PF13489.9;PF08241.15;PF13649.9;PF13847.9;PF08242.15
A0A4P7BID1,PF02152.21
A0A285NKX4,PF03551.17
A0A8B2PKG2,PF00005.30;PF13304.9
A0A2N7WBC4,PF00156.30
A0A248TIE7,PF00072.27;PF00486.31
A0A1H7HBH3,PF04509.15
A0A248TFX1,PF02660.18
A0A2T0MVW6,PF00072.27;PF00196.22
A0A2T0MMN9,PF00072.27;PF00196.22
A0A4V6PSX8,PF08281.15;PF04545.19
A0A248TPZ6,PF13561.9;PF00106.28;PF08659.13
A0A285NMT6,PF00581.23
A0A8B2PEB0,PF00072.27;PF00196.22
A0A2T0N691,PF01648.23
A0A248TJ97,PF00005.30
A0A1H7M415,PF01597.22
A0A248TLX0,PF03819.20
A0A386WL33,PF00072.27;PF00196.22
A0A248TIG9,PF00072.27
A0A248TFS2,PF03641.17;PF18306.4
A0A2T0N6I4,PF17940.4
A0A4V3C690,PF00440.26;PF13305.9
A0A919CX65,PF01230.26;PF11969.11
A0A248TP24,PF13847.9;PF08241.15;PF13649.9;PF13489.9;PF01209.21;PF08242.15
A0A386WJR1,PF00072.27;PF00196.22
A0A4R7KCT2,PF00825.21
A0A4R7K4C4,PF00072.27;PF00486.31
A0A4R7KP81,PF03358.18
A0A3N2GS34,PF01047.25
A0A3N2GR94,PF13561.9;PF00106.28
A0A3N2H1V5,PF00196.22;PF00072.27
A0A6P1LC89,
A0A2T0N4P7,
A0A248TH08,
A0A1Y2MWJ8,
A0A4R7KB07,
A0A248TDA3,
A0A1D2L744,
