meso_pid,thermo_pid,functional,score
A0A562QGC8,A0A679FUN7,True,1.0
A0A8J3WDB4,A0A3D9V643,True,1.0
A0A8H9IW37,A0A3D9VEE4,False,0.5
A0A7X6MCR2,A0A3D9VAJ5,False,0.0
A0A1H4X5J1,A0A3D9V8S8,False,0.0
A0A4P6MVW1,A0A3D9VET9,True,1.0
A0A5J6G3T5,A0A3D9V844,True,1.0
A0A1H6IVW5,A0A3D9V759,True,1.0
A0A1C4TWZ4,A0A3D9V632,False,0.5
A0A841C1P5,A0A3D9VC31,False,0.0
A0A4S5E3L2,A0A3D9V4B1,True,1.0
A0A840WZ26,A0A3D9V9S9,True,1.0
A0A243QC85,A0A3D9V2D0,True,1.0
A0A510UZF8,A0A3D9V924,True,1.0
H0QMC2,A0A3D9V8C6,True,1.0
A0A640UZT8,A0A3D9VBT5,True,1.0
A0A5J5IXP3,A0A3D9V7C2,True,1.0
A0A6N4UPH2,A0A3D9VA50,False,0.5
A0A1J4NAS2,A0A3D9VC38,True,0.6666666666666666
A0A7X6L2B1,A0A3D9V159,True,1.0
A0A1E5PRQ0,A0A3D9V5B4,True,1.0
A0A8F9S9R0,A0A3D9V9I2,True,1.0
A0A7Z0GQG5,A0A3D9V591,True,0.6666666666666666
A0A7X0HAF9,A0A3D9V5Z8,True,1.0
A0A0L0JKM0,A0A3D9V3E6,True,1.0
A0A8F9WP00,A0A3D9V3R1,True,1.0
A0A846Y8Q8,A0A3D9VF87,True,1.0
A0A345XT95,A0A3D9V3B2,True,1.0
A0A918LB90,A0A3D9V3Y6,True,1.0
H0QZN0,A0A3D9VDI7,True,1.0
R7WI47,A0A3D9V157,False,0.5
A0A1G9Q975,A0A3D9VAU7,False,0.3333333333333333
A0A3G9J5C4,A0A3D9V9Y0,True,1.0
W7ID22,A0A3D9VJN6,True,0.6666666666666666
A0A8J3UJI9,A0A3D9V4C4,True,1.0
A0A1C5JZC3,A0A3D9V056,True,1.0
A0A241TW65,A0A3D9V7M5,True,1.0
A0A918Y8H1,A0A3D9VDH7,True,1.0
A0A0A0NCX1,A0A3D9V7J6,False,0.0
A0A850DTN7,A0A3D9VE69,True,1.0
A0A6H9YYQ4,A0A3D9V545,True,1.0
A0A4R0KSB9,A0A3D9V0P6,True,1.0
A0A919T0P7,A0A3D9V8Z6,True,1.0
A0A3R8X6K9,A0A3D9V9S1,False,0.0
A0A7W3Y1U7,A0A3D9V972,True,1.0
A0A4D4KNP1,A0A3D9V9J2,True,1.0
A0A4Y4DU51,A0A3D9VFU6,True,1.0
A0A2K8PK50,A0A3D9V255,False,0.0
A0A5S4H8T9,A0A3D9V1S4,True,1.0
A0A1G8RBK6,A0A3D9V7P4,True,1.0
A0A7W7LKQ2,A0A3D9V6K0,True,1.0
A0A1C5J9J9,A0A3D9VIX6,True,1.0
A0A3N1HBR9,A0A3D9V605,True,1.0
W7J1Z1,A0A3D9V0K2,True,1.0
A0A8J3ZHL3,A0A3D9V3Y5,True,1.0
A0A7W8BPU1,A0A3D9V0A7,True,1.0
A0A841FAV8,A0A3D9V1U8,False,0.0
A0A239B8E7,A0A3D9V7J9,True,1.0
D2PQF7,A0A3D9V8L1,True,1.0
A0A1M4WJU7,A0A1G9FHG3,True,1.0
A0A1I2XRE5,A0A1G9CYL6,False,0.3333333333333333
A0A0P1EVS3,A0A1G9GVI4,True,1.0
A0A8I1M7M9,A0A1G9DX40,True,1.0
A0A4R7LE08,A0A1G9E9N4,True,1.0
A0A1R3XJB4,A0A1G9BA05,True,1.0
A0A6M1S539,A0A1G9FMN7,True,1.0
V6F2I6,A0A2S5JKP9,True,1.0
A0A1I3W9L4,A0A2S5JIV5,True,0.6666666666666666
A0A7W6LGT2,A0A2S5JFS8,True,0.6666666666666666
A0A256F134,A0A2S5JFR9,True,1.0
A0A2S9Q6X2,A0A2S5JFS6,True,1.0
A0A7W9CW53,A0A2S5JGJ0,False,0.5
A0A432PP19,A0A2S5JHB9,True,1.0
A0A0F5PW79,A0A2S5JJ51,True,1.0
A0A1H5XPZ3,A0A2S5JH95,False,0.5
A0A0H5DC01,A0A2S5JL52,True,1.0
S3IE68,A0A2S5JLU4,True,1.0
A0A7W8DV57,A0A2S5JD99,True,1.0
N1MSK6,A0A2S5JD51,True,1.0
A0A378LP79,A0A3N1XZP9,True,1.0
A0A085ABW7,A0A3N1Y9M7,False,0.5
A0A317MT57,A0A3N1XS98,True,1.0
A0A1G7SSE1,A0A3N1Y0R5,True,1.0
A0A7X0FIQ2,A0A3N1Y0L9,True,1.0
A0A1G8MPA3,A0A3N1Y1P3,False,0.5
A0A7X0FKL3,A0A3N1XZV1,True,1.0
A0A656QHQ9,A0A3N1Y8D3,True,1.0
A0A447QMM9,A0A3N1XSZ8,False,0.5
D8IWW5,A0A2Z6DWP8,True,1.0
A0A7D4IRY4,A0A2Z6DZ79,True,0.6666666666666666
A0A6S7BZH9,A0A2Z6DVM5,False,0.5
A0A2S2DFP3,A0A2Z6DVG0,True,1.0
D8IPW7,A0A2Z6E053,False,0.5
A0A1I3TND1,A0A2Z6DY51,True,1.0
A0A6P1DUY5,A0A2Z6DZ77,True,1.0
A0A069NFD6,A0A2Z6DZ98,True,1.0
A0A1K2HP75,A0A2Z6DYM6,False,0.5
A0A6M0JZU9,A0A2Z6DVL1,True,1.0
A0A7X0P8Q6,A0A2Z6E0N1,True,1.0
A0A1I2S7M9,A0A7W1X771,True,1.0
W7BQR6,A0A7W1X7M4,True,0.6666666666666666
A0A0A6VDL2,A0A7W1X7L5,True,1.0
