meso_pid,thermo_pid,functional,score
A0A7W7WD49,A0A1H1H1I8,False,0.5
A0A0L0JVT6,A0A1H1FR24,True,1.0
A0A1H3SAB4,A0A1H1HNG3,True,1.0
A0A1X9LP63,A0A1H1HC01,True,1.0
A0A558H8J5,A0A1H1DEZ7,True,1.0
A0A7J9UU80,A0A1H1H803,True,1.0
R1GA83,A0A1H1HY40,True,1.0
A0A846XVQ6,A0A1H1EL70,True,1.0
A0A0K2AXG4,A0A1H1DXY2,False,0.3333333333333333
A0A385DE84,A0A1H1E4W2,True,1.0
A0A1H5ABM0,A0A1H1BS07,True,1.0
A0A1H2H4X5,A0A1H1FR09,False,0.3333333333333333
M3D9G2,A0A1H1ETZ1,True,1.0
A0A1K2AH24,A0A1H1E3P0,True,1.0
A0A514JKX6,A0A1H1DPU1,True,1.0
A0A917R5P1,A0A1H1CW48,True,1.0
A0A3N1H1F9,A0A1H1ADP7,True,1.0
A0A5M3XA62,A0A1H1AR58,False,0.5
A0A7W3MPW9,A0A1H1EA46,True,1.0
A0A3N2B9V5,A0A1H1CVH1,False,0.3333333333333333
A0A7K3Q611,A0A1H1HUU1,True,1.0
I4EQQ6,A0A1H1BUD8,False,0.5
A0A1N5WIQ3,A0A1H1HPQ1,True,1.0
A0A1H1NBS5,A0A1H1HJ46,True,1.0
A0A0C2JCS8,A0A1H1I2X1,True,1.0
A0A7W3LUC3,A0A1H1BIE9,False,0.0
A0A7Y4L1F1,A0A1H1H1B1,True,1.0
L7LMI6,A0A1H1CFD2,False,0.0
A0A4R6SL20,A0A1H1CGE0,True,1.0
A0A222VK72,A0A1H1CF19,True,1.0
A0A6L9QD51,A0A1H1I0L8,False,0.3333333333333333
A0A1G7NBD9,A0A1H1E1P5,True,1.0
A0A7W7G1A7,A0A1H1I295,True,1.0
A0A345Y0Q9,A0A1H1FI91,True,1.0
A0A841DM25,A0A1H1I1P0,False,0.0
Z9JWW1,A0A1H1G379,True,1.0
A0A7W7LN30,A0A1H1GR67,False,0.0
A0A6I6KW10,A0A1H1DU24,True,1.0
A0A7W9PPV9,A0A1H1HGR0,True,1.0
A0A366FBQ6,A0A1G9F3K4,True,1.0
A1BA23,A0A1G8YT35,True,1.0
A0A1H8LAG1,A0A1G9D0K5,True,1.0
C5AUY6,A0A1G9GM97,True,1.0
A0A839UFD5,A0A1G9CA09,True,1.0
A0A2Y9B434,A0A1G9EKV3,True,1.0
A0A172Y650,A0A1G8ZHW1,True,1.0
A0A0B2BTT2,A0A1G9GF16,True,0.6666666666666666
A0A327KXC4,A0A1G9BIC6,True,1.0
A0A7W7N2P0,A0A1G9F808,True,1.0
A3U1Z1,A0A1G9B805,True,1.0
A0A1B3XUU7,G8MXC1,True,1.0
A0A7U7JSV6,G8MX31,True,0.6666666666666666
A0A418IC80,G8N541,True,1.0
R2QVZ3,G8N3N5,True,1.0
A0A060M2P0,G8MXQ7,False,0.3333333333333333
A0A0R1LQG8,G8MZ96,True,1.0
A0A1C3NFU7,A0A918Z481,True,1.0
A0A6G6ITM8,A0A919DBD4,True,1.0
A0A075JYP4,A0A918Z5W5,True,1.0
A0A1H6Z210,A0A919D7P9,True,1.0
A0A511ULL2,A0A919D989,True,1.0
A0A099MYL0,A0A919DCE3,True,1.0
A0A2S7EQF6,A0A919DA52,False,0.5
A0A085G0X6,A0A919DHB2,True,1.0
A0A6M0K288,A0A918ZA53,True,1.0
A0A0N8RHM1,A0A919D9L9,True,1.0
D8IS83,A0A918YYS2,True,1.0
A0A7Y1E3A8,A0A918Z6P7,True,1.0
E6WRB9,A0A918YYP3,True,1.0
R1H0M0,A0A918Z551,True,1.0
A0A1C3NL42,A0A919D9A8,True,1.0
A0A1G8T5B3,A0A918Z1V0,True,1.0
A0A0A5GLZ7,A0A4R3N138,True,1.0
A0A1C7E4H3,A0A4R3N1F6,True,1.0
A0A428MTD5,A0A4R3N0U5,True,1.0
A0A377FQF7,A0A150N8K6,True,1.0
A0A4R2PCM6,A0A150N535,True,1.0
A8F9A1,A0A4V2V1G1,True,1.0
A0A7X0HVA0,A0A4R3MZN5,True,1.0
A0A1L8WSU0,A0A150MZ66,True,1.0
A0A1H9W1T7,A0A4R3N323,True,1.0
G7VWM0,A0A4R3MSY8,True,1.0
A0A163JET8,A0A4R3MM18,True,0.6666666666666666
A0A1I3AQU0,A0A4R3N977,False,0.5
A0A920CNL2,A0A4R3N4N2,False,0.5
A0A6L8JTH9,A0A4V2V0U6,True,1.0
A0A1D7VKE6,A0A1M6WH56,True,1.0
A0A117P3H9,A0A1M6RAB2,True,0.6666666666666666
A0A841DBZ7,A0A1M6RK56,True,1.0
A0A940T3Q0,A0A1M6YN43,True,1.0
A0A918JDF6,A0A1M6Q8X2,True,1.0
A0A7J0D4D6,A0A1M6ZV87,True,1.0
A0A7S7XD16,A0A1M6U3J8,True,1.0
A0A0M2GRH2,A0A1M6R8K8,True,0.6666666666666666
A0A5P2XG26,A0A1M6P7C2,True,1.0
A0A5J6FLI6,A0A1M6P653,True,1.0
A0A511A9H4,A0A1M6Z1B8,False,0.0
A0A0J1IM07,A0A4R3N8Z5,True,1.0
A0A1K1XI65,A0A1M6Z2Z8,True,1.0
A0A3B0CPD9,A0A1G6L941,True,1.0
A0A6I2MCV8,A0A1I2LAF6,True,1.0
A0A2W0CE76,A0A1I2KD17,True,1.0
A0A0N0CX12,A0A1G6JNR3,True,1.0
A0A0E2BU98,A0A1I2LAF8,True,1.0
A0A0J6D4F3,A0A1G6LNQ4,True,1.0
A0A0N0CWM3,A0A1I2NAS4,True,1.0
A0A366XXP5,A0A1G6RSB2,True,1.0
A0A1R1AZC7,A0A1I2MI84,False,0.3333333333333333
A0A0Q3SZF8,A0A1I2LD11,True,1.0
A0A0M0LNE4,A0A7W9YQP4,False,0.5
A0A7X2Z1X8,A0A7W9YRH4,True,1.0
A0A366JT45,A0A7W9YP69,True,1.0
M5P910,A0A8I1DC90,True,1.0
Q9KBW6,A0A8I1DFJ5,True,1.0
A0A7W5AW50,A0A8I1DEC5,True,1.0
A0A1H2SB51,A0A8I1AAN4,True,1.0
A0A919YI75,A0A8I1AF60,True,1.0
A0A0J1L5P4,A0A8I1DFG3,False,0.3333333333333333
A0A0Q3WLU0,A0A8I1A8H8,True,1.0
A0A099W954,A0A8I1AB44,True,1.0
A0A1G4SAZ8,A0A8I1DF78,True,1.0
A0A4R6ZQT0,A0A8I1DF46,False,0.3333333333333333
A0A5Q2NDT3,A0A8I1A997,False,0.0
A0A3T0MAN9,A0A8I1DG83,True,1.0
A0A1C7E9S9,A0A178TVN6,False,0.3333333333333333
A0A1W1IJ57,A0A178U3Y8,False,0.5
A0A366K006,A0A0C7NM72,True,1.0
A0A1C7DBX5,A0A0C7NAG3,False,0.5
A0A3B0M9W9,A0A397Q4Y4,True,1.0
A0A6G4WJA0,A0A2S5JLW6,False,0.5
A0A2T4J4N2,A0A2S5JLD3,True,1.0
A0A844T352,A0A1G8ZAS2,True,1.0
A0A0B3RQ56,A0A1G9FLF6,True,0.6666666666666666
A0A0P1HD05,A0A1G9FJG7,True,1.0
A0A521D3S2,A0A1G9BHX6,True,1.0
A0A330H8I9,A0A1G9ADR4,True,1.0
A0A0S3Q0I2,A0A1G8Y001,True,1.0
V6F0W2,A0A1G9FPS4,False,0.5
A0A7W8E0U8,A0A1G9DD32,True,0.6666666666666666
A0A7W9ZJ47,A0A1G9ED05,False,0.5
A3V5A1,A0A1G8ZDF2,True,1.0
F7ZFP7,A0A1G9F755,True,1.0
A0A1M5LBB8,A0A1G9EI35,True,1.0
B9JKR1,A0A1G9H4T2,True,1.0
