meso_pid,thermo_pid,functional,score
Q8Y8A3,Q5L147,False,0.0
Q8Y444,Q5L408,True,1.0
P72504,Q8DHC5,True,1.0
Q6LX55,Q57912,True,1.0
P00154,F7J213,True,1.0
B2J981,Q8DL82,True,1.0
Q5WFD8,Q5L106,True,1.0
P72509,P50031,True,1.0
Q816R4,Q5KW03,True,1.0
P00246,P0A3C9,True,1.0
P72509,P50030,True,1.0
P72509,P50033,True,1.0
P72509,P50032,True,1.0
Q8NQE0,A0LU49,True,1.0
A0A063X754,Q5L413,True,1.0
Q8Y444,Q5L408,True,1.0
P00246,Q8DJI7,True,1.0
Q8Y8A3,Q5L147,False,0.0
Q9KF54,Q5L3C9,True,1.0
P95339,Q76IQ6,True,1.0
P72505,Q8DHC5,True,1.0
P72504,P50031,True,1.0
P72504,P50030,True,1.0
P72504,P50033,True,1.0
P72504,P50032,True,1.0
Q927L7,Q5L413,True,1.0
P72508,Q8DHC5,True,1.0
P72505,P50031,True,1.0
P72505,P50030,True,1.0
P72505,P50033,True,1.0
P72505,P50032,True,1.0
P72508,P50031,True,1.0
P72508,P50030,True,1.0
P72508,P50033,True,1.0
